Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	SuccessRateVal	OriSuccessRateVal	FinalDist	MaxFinalDist	MinFinalDist	FinalOriDist	MaxFinalOriDist	MinFinalOriDist	FinalOriScaledDist	MaxFinalOriScaledDist	MinFinalOriScaledDist	FinalScore	MaxFinalScore	MinFinalScore
31	185.01031	39.89603	281.28076	95.157974	50.0	55.717533	37.86649	115.32684	-4.1045656	720000	-7.4505807e-10	533.07324	-0.022689903	-43.167244	0.7341655	0.011029197	0.14186665	79.0	3055.4274456501007	0.10666667	0.104444444	0.11351144	0.16464703	0.012337593	1.5753853	3.137703	0.025704833	0.50146073	0.99876183	0.008182103	0.16285962	0.2999204	0.018534228
32	187.50986	40.096863	283.69733	84.51092	50.0	56.193527	38.073544	117.56771	-3.2940273	742500	-2.0861625e-08	554.3231	-0.02253226	-52.37102	0.7312671	0.0099557545	0.13857779	79.0	3152.9607133865356	0.12666667	0.115555555	0.10946267	0.16101682	0.0063701137	1.5731256	3.1413867	0.025508609	0.5007414	0.9999345	0.008119643	0.15658051	0.38908038	0.0113093
33	183.37921	40.18515	304.81802	99.65832	50.0	56.971855	39.285416	119.73561	-1.7865146	765000	-5.2154063e-09	518.05023	-0.023706125	-50.633514	0.7281437	0.01183212	0.15875557	79.0	3248.667667865753	0.14	0.09555556	0.110878035	0.16504307	0.008313365	1.6339453	3.1415389	0.020157075	0.52010095	0.9999829	0.0064161965	0.15838645	0.3087633	0.011563456
34	186.27493	40.951073	295.9115	100.88708	50.0	55.41073	39.16261	121.62422	-7.0487704	787500	2.2351743e-09	515.9149	-0.023663241	-46.07865	0.72200596	0.011828659	0.1507111	79.0	3346.8971843719482	0.1711111	0.11777778	0.11014416	0.164991	0.004798017	1.6398346	3.1407528	0.0011995067	0.52197564	0.9997327	0.00038181484	0.15711229	0.2997072	0.030338414
35	186.838	40.470543	288.41138	110.06354	50.0	57.518127	39.789555	123.59107	-2.1810746	810000	4.4703485e-09	525.0295	-0.02395224	-42.23542	0.7115891	0.011155857	0.15391111	79.0	3448.7877871990204	0.18	0.08888889	0.10655424	0.16319475	0.004741657	1.621753	3.1280994	0.011064256	0.51622	0.99570495	0.0035218617	0.15478545	0.29668686	0.016093703
36	189.75581	40.256577	289.42807	103.72263	50.0	58.28443	39.813244	125.47616	-6.8862534	832500	1.4901161e-09	518.149	-0.023850888	-44.6704	0.70287925	0.010767932	0.15457778	79.0	3546.6940937042236	0.14666666	0.11333334	0.110242665	0.16453882	0.0052677584	1.5098656	3.1401768	0.0025910083	0.48060516	0.9995493	0.0008247436	0.15765189	0.38173616	0.019168299
37	187.34018	42.05784	302.8656	111.9334	50.0	57.207367	39.810932	127.40644	-10.313158	855000	-2.9802323e-09	488.75668	-0.023554206	-46.758625	0.69467366	0.011215709	0.15204445	79.0	3645.016824245453	0.12888889	0.09777778	0.10867016	0.16332601	0.003934683	1.6365092	3.141319	0.004075641	0.52091706	0.9999129	0.0012973169	0.15672353	0.28080663	0.009970458
38	185.80681	41.149685	297.07593	79.51449	50.0	58.159016	41.27768	129.1896	-16.597025	877500	2.1606684e-08	486.42816	-0.023856068	-45.04029	0.6873768	0.01136932	0.15262222	79.0	3743.6471095085144	0.16888888	0.09111111	0.10676254	0.16286792	0.010988369	1.6868465	3.1409304	0.014252102	0.5369399	0.9997892	0.004536585	0.15462053	0.29029813	0.019029364
39	190.31961	40.28927	288.54996	92.545715	50.0	57.342476	41.24333	130.83534	-12.4381695	900000	-1.4901161e-09	500.56757	-0.023722606	-50.330673	0.67994803	0.011096281	0.15413333	79.0	3843.5485553741455	0.21777777	0.104444444	0.10410117	0.16164479	0.010386964	1.6489855	3.1358948	0.02110671	0.5248884	0.9981863	0.0067184744	0.1503322	0.31167302	0.014761437
40	194.32681	41.31961	282.3482	106.15405	50.0	60.25919	41.43815	132.60997	-8.014584	922500	1.7136335e-08	497.9589	-0.023259116	-52.076256	0.6744461	0.011314559	0.14488891	79.0	3943.116289138794	0.21555555	0.115555555	0.1018348	0.16301264	0.00925077	1.594565	3.1396747	0.033224218	0.50756586	0.99938947	0.010575597	0.14911777	0.45275733	0.015746867
41	194.6318	41.37813	301.30075	114.21987	50.0	61.409904	42.27838	134.63593	-8.785665	945000	-6.7055224e-09	458.3286	-0.02277838	-36.078674	0.67025673	0.011244221	0.14888889	79.0	4042.674953222275	0.18888889	0.13333334	0.10042674	0.1792122	0.008628101	1.5301299	3.1301138	0.0120103955	0.48705545	0.9963462	0.0038230277	0.14774048	0.50793207	0.015909104
42	194.20854	41.948616	308.7134	114.35102	50.0	60.930443	42.235306	136.52127	-8.098547	967500	-1.4901161e-09	467.51617	-0.023094213	-34.980457	0.66359913	0.010416556	0.14817777	79.0	4140.853098154068	0.22222222	0.12	0.10276924	0.16121136	0.0024085667	1.5831496	3.1365035	0.022847217	0.5039322	0.99838006	0.007272495	0.1486556	0.31480518	0.018373271
43	189.96614	39.440083	293.29886	93.8878	50.0	60.236267	42.515778	138.31076	-8.877158	990000	9.685754e-09	449.49902	-0.02446573	-40.915306	0.6556102	0.012545447	0.15813334	79.0	4239.5868537425995	0.21777777	0.07777778	0.10125683	0.16320294	0.0036606402	1.6956638	3.132337	0.0035342437	0.5397465	0.9970538	0.0011249847	0.15122609	0.29945856	0.023403874
44	197.59018	41.447525	303.03003	116.61471	50.0	61.824432	42.844116	139.73306	-5.8141127	1012500	-1.0430813e-08	478.2041	-0.023806712	-57.307575	0.6489732	0.011350736	0.14884444	79.0	4337.647751331329	0.24222222	0.13111112	0.09774558	0.16160867	0.006547448	1.4984229	3.1415207	0.0027036474	0.47696283	0.9999771	0.00086059765	0.14320287	0.29573286	0.011127201
45	193.32948	39.58606	287.6229	104.43617	50.0	61.87467	42.98908	141.47017	-6.5825167	1035000	-1.2665987e-08	440.68106	-0.023943203	-36.86687	0.64114034	0.010704631	0.1479111	79.0	4441.086669683456	0.24666667	0.1	0.09609453	0.16271654	0.0046315277	1.6515012	3.1368895	0.0061460664	0.5256891	0.99850297	0.0019563537	0.14421271	0.30960685	0.0075211977
46	197.37856	41.100636	300.1897	99.43057	50.0	64.487434	42.819508	142.9794	-5.4207087	1057500	-4.4703485e-09	456.34653	-0.02391594	-56.26236	0.6350897	0.0105962055	0.14773333	79.0	4546.897807598114	0.2	0.11333334	0.09623632	0.16294704	0.0012202408	1.5952289	3.1316748	0.0050682267	0.5077771	0.99684304	0.0016132666	0.14321673	0.3190291	0.0031756242
47	195.76881	41.37238	289.58368	103.84791	50.0	63.05529	43.88818	144.70238	-9.046335	1080000	-3.7252904e-10	484.8024	-0.022615816	-53.415386	0.62924457	0.010454023	0.14657779	79.0	4647.150584936142	0.23777778	0.08444444	0.09538803	0.16352975	0.0093021225	1.6760881	3.1414828	0.019655151	0.5335154	0.999965	0.006256429	0.14151631	0.321354	0.01730857
48	196.4385	43.290714	294.68112	102.05483	50.0	61.677635	43.477974	146.27234	-11.978445	1102500	-7.4505807e-10	530.3534	-0.02323892	-46.974667	0.6265594	0.01021347	0.13928887	79.0	4745.469731330872	0.23777778	0.08444444	0.09210921	0.16273975	0.004555724	1.6483192	3.1379614	0.03700307	0.52467626	0.9988441	0.011778443	0.13957855	0.4497849	0.013058066
49	199.04071	41.078762	286.26526	102.44374	50.0	63.578312	44.098076	147.80048	-12.085376	1125000	6.7055224e-09	470.81647	-0.023022376	-55.93169	0.62127364	0.011577438	0.14324445	79.0	4845.223269939423	0.2777778	0.10666667	0.09285144	0.17259172	0.0053566587	1.6031799	3.1267498	0.0056974776	0.510308	0.9952753	0.0018135635	0.13952187	0.38729283	0.011670504
50	200.9476	39.85021	300.35678	100.186325	50.0	63.805378	44.459244	149.4602	-7.8746853	1147500	-1.5646219e-08	446.40753	-0.023285255	-52.90388	0.61604285	0.009037454	0.15626666	79.0	4944.640248060226	0.2688889	0.07111111	0.09128055	0.16105947	0.0030626608	1.6112158	3.1413674	0.008095895	0.51286596	0.9999283	0.0025770033	0.13797393	0.29670516	0.008902611
51	197.2604	40.132534	289.77493	102.18752	50.0	64.38887	44.16073	151.08157	-8.187439	1170000	5.9604646e-09	416.02704	-0.02339178	-35.21687	0.61009055	0.0102411825	0.15088889	79.0	5047.840872764587	0.27555555	0.11333334	0.092164665	0.16122739	0.010685768	1.6667091	3.1402774	0.014577621	0.53053	0.9995814	0.0046402006	0.14048992	0.35922125	0.015587878
52	198.34406	41.797203	306.9982	116.85967	50.0	63.4609	44.914177	152.4691	-10.811296	1192500	3.7252903e-09	429.71466	-0.023539372	-40.981922	0.60660064	0.010694351	0.15191111	79.0	5144.756001472473	0.26666668	0.09111111	0.08984957	0.1608367	0.005507231	1.672886	3.1336327	0.006218609	0.5324961	0.9974662	0.0019794446	0.13754891	0.33974394	0.0074506705
53	198.35332	39.078037	306.74008	105.66006	50.0	64.704475	44.673355	154.02315	-6.869664	1215000	-9.685754e-09	433.50024	-0.02318969	-40.895206	0.6008475	0.011208239	0.15462223	79.0	5240.882692575455	0.27333334	0.12222222	0.08783834	0.1682015	0.0036176632	1.6325611	3.1370158	0.026241587	0.51966035	0.99854314	0.008352957	0.1336509	0.4156161	0.011959866
54	201.49457	40.866734	307.39658	119.46824	50.0	65.35353	45.118855	155.31125	-7.2271905	1237500	1.899898e-08	440.03107	-0.022824634	-44.037483	0.5960344	0.012482745	0.15017778	79.0	5338.885050058365	0.30888888	0.12444445	0.08846339	0.16485383	0.001094012	1.5802976	3.1415558	0.021609174	0.5030244	0.99998826	0.0068784137	0.13398643	0.30410025	0.010306535
