Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	SuccessRateVal	OriSuccessRateVal	FinalDist	MaxFinalDist	MinFinalDist	FinalOriDist	MaxFinalOriDist	MinFinalOriDist	FinalOriScaledDist	MaxFinalOriScaledDist	MinFinalOriScaledDist
40	556.5982	839.818	2055.3384	-1195.1382	600.0	110.01446	120.815186	350.8052	-73.60786	984000	-4.967054e-09	10479.999	-0.033107657	-1909.8676	0.7767935	0.015005943	0.19566667	73.0	1570.4135937690735	0.25	0.29166666	0.099950515	0.18076667	0.018735621	0.5345385	0.9233664	0.032977484	0.5345385	0.9233664	0.032977484
41	693.3887	712.5715	2382.223	-46.633484	600.0	102.60598	106.64682	297.80173	-67.1072	1008000	-1.2417634e-08	9598.9795	-0.031808894	-1244.6896	0.77397674	0.0150644705	0.195875	57.0	1607.8013365268707	0.125	0.41666666	0.098371424	0.18075737	0.02066418	0.49448308	0.988475	0.006570952	0.49448308	0.988475	0.006570952
42	786.92334	774.11523	2081.722	-1028.0594	600.0	137.30956	114.14501	320.9256	-56.801517	1032000	1.2417634e-08	11066.237	-0.033794973	-1156.3839	0.7659337	0.015068178	0.20324999	75.0	1643.285980463028	0.25	0.41666666	0.095873594	0.17295639	0.02939184	0.45613655	0.9080437	0.025299622	0.45613655	0.9080437	0.025299622
43	728.3879	930.47675	2947.873	-562.0768	600.0	120.62477	111.282646	348.00507	-65.99077	1056000	0.0	7711.4766	-0.032066803	-1432.0088	0.76340145	0.015068413	0.1935	64.0	1680.5885653495789	0.16666667	0.33333334	0.101215415	0.17227155	0.015124663	0.55772525	0.9885106	0.007988669	0.55772525	0.9885106	0.007988669
44	837.0562	964.011	2890.851	-1127.3123	600.0	137.82437	130.90814	377.26605	-81.46325	1080000	7.450581e-09	11814.198	-0.031595584	-1482.433	0.7590601	0.015089188	0.19412501	74.0	1717.7884237766266	0.16666667	0.45833334	0.09348825	0.18095827	0.025207764	0.5084433	0.94072855	0.08051274	0.5084433	0.94072855	0.08051274
45	924.3828	883.1646	2628.4717	-1025.283	600.0	123.66126	130.06056	338.26263	-122.84761	1104000	4.967054e-09	11586.524	-0.035763506	-1857.5148	0.75508934	0.014027835	0.21833332	79.0	1757.295250415802	0.20833333	0.5416667	0.115530334	0.18092433	0.017344898	0.41950664	0.9468997	0.017728213	0.41950664	0.9468997	0.017728213
46	736.4179	954.69116	2388.4622	-1027.8917	600.0	127.923836	114.7293	331.24463	-91.72744	1128000	9.934108e-09	10842.001	-0.02983133	-2897.711	0.7496123	0.015059502	0.179	46.0	1791.8766734600067	0.16666667	0.375	0.09546486	0.18073365	0.027980553	0.5422457	0.9924597	0.030284343	0.5422457	0.9924597	0.030284343
47	902.687	938.64307	2308.3315	-765.9705	600.0	138.15079	119.80855	332.5408	-102.146065	1152000	4.967054e-09	7282.5234	-0.03576576	-824.60004	0.74399644	0.014828042	0.20341666	79.0	1827.6314175128937	0.20833333	0.5	0.096676864	0.16877511	0.007098409	0.47187996	0.9731568	0.025199814	0.47187996	0.9731568	0.025199814
48	1177.2128	919.3067	2884.7417	-450.75107	600.0	163.12523	123.36909	337.87164	-99.0234	1176000	1.2417635e-09	14644.926	-0.03415171	-2076.537	0.7390793	0.015001338	0.20766668	76.0	1865.2306356430054	0.375	0.5833333	0.090285815	0.18007281	0.015213307	0.43022346	0.9939504	0.023576729	0.43022346	0.9939504	0.023576729
49	527.7051	883.7111	2177.2915	-920.65497	600.0	119.22759	108.00801	325.8344	-100.97353	1200000	1.4901161e-08	19993.264	-0.026899463	-5060.5845	0.73310786	0.015088826	0.17645831	36.0	1903.0349504947662	0.20833333	0.375	0.11140764	0.17771612	0.0073451297	0.49679592	0.9988277	0.02564333	0.49679592	0.9988277	0.02564333
50	827.9712	1127.9958	2436.8296	-1119.3035	600.0	95.89227	126.485275	297.7125	-159.81677	1224000	0.0	13205.277	-0.03475524	-3614.0496	0.73224425	0.013131249	0.19625	79.0	1939.9673290252686	0.41666666	0.375	0.095163524	0.18080677	0.017114796	0.45995462	0.9734544	0.023964506	0.45995462	0.9734544	0.023964506
